"Manage Logs","Gérer les Logs"
"General Configuartion","Configuration Générale"
"Maverick Modules","Les modules Maverick"
"Maverick Logs Permissions","Permissions de Maverick Logs"
"Maverick Logs Section","Section Maverick Gérer les Logs"
"New Logs Appeared","De Nouveaux Logs ont Apparus"
"See Logs","Voir les Logs"
"New errors detected in those files:","Nouvelles erreurs détéctées dans les fichiers suivants:"
"Refresh","Rafraîchir"
"There are no custom logs.","Aucun Custom Log trouvé."
"Notification Settings","Gestion des notifications"
"Enable Window Notification","Activer les notifications"
"Enable Window Notification after login page if there are new logs","Activer l'affichage des notifications après l'authentification s'il y a des nouveaux logs"
"Logs Management","Gestion des Logs"
"Number of lines per page","Nombre de lignes par page"
"Auto refresh delay (seconds)","Délai de rafraîchissement automatique"
"if auto refresh checkbox is checked, the content of file will be reloaded every [delay] seconds","si case Auto refresh est cochée, le contenu du fichier sera rechargé tous les [délai] secondes"
"delay value must be given in seconds","la valeur doit être en secondes"
"File tree was successfully refreshed","La liste des fichiers a bien été actualisée"
